# allkeys-17.0.0.txt
# Date: 2025-07-23, 12:12:03 GMT
# Copyright 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/copyright.html
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..73C2 (29123)
# Secondary weight range: 0020..0127 (264)
# Variant secondaries:    011F..0127 (9)
# Tertiary weight range:  0002..001F (30)
#
@version 17.0.0

@implicitweights 17000..187FF; FB00 # Tangut
3249  ; [.21E8.0020.0006][.21E6.0020.0006] # CIRCLED NUMBER TWENTY ON BLACK SQUARE
33F3  ; [.21E8.0020.0004][.21E6.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY
336C  ; [.21E8.0020.0004][.21E6.0020.0004][.FB40.0020.0004][.F0B9.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY
3251  ; [.21E8.0020.0006][.21E7.0020.0006] # CIRCLED NUMBER TWENTY ONE
33F4  ; [.21E8.0020.0004][.21E7.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-ONE
336D  ; [.21E8.0020.0004][.21E7.0020.0004][.FB40.0020.0004][.F0B9.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-ONE
3252  ; [.21E8.0020.0006][.21E8.0020.0006] # CIRCLED NUMBER TWENTY TWO
1F1A2 ; [.21E8.0020.001C][.21E8.0020.001C][*0282.0020.001C][.21E8.0020.001C] # SQUARED TWENTY-TWO POINT TWO
33F5  ; [.21E8.0020.0004][.21E8.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-TWO
336E  ; [.21E8.0020.0004][.21E8.0020.0004][.FB40.0020.0004][.F0B9.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-TWO
3253  ; [.21E8.0020.0006][.21E9.0020.0006] # CIRCLED NUMBER TWENTY THREE
2154  ; [.21E8.0020.001E][*06E8.0020.001E][.21E9.0020.001E] # VULGAR FRACTION TWO THIRDS
33F6  ; [.21E8.0020.0004][.21E9.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-THREE
336F  ; [.21E8.0020.0004][.21E9.0020.0004][.FB40.0020.0004][.F0B9.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-THREE
3254  ; [.21E8.0020.0006][.21EA.0020.0006] # CIRCLED NUMBER TWENTY FOUR
33F7  ; [.21E8.0020.0004][.21EA.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FOUR
3370  ; [.21E8.0020.0004][.21EA.0020.0004][.FB40.0020.0004][.F0B9.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-FOUR
3255  ; [.21E8.0020.0006][.21EB.0020.0006] # CIRCLED NUMBER TWENTY FIVE
2156  ; [.21E8.0020.001E][*06E8.0020.001E][.21EB.0020.001E] # VULGAR FRACTION TWO FIFTHS
33F8  ; [.21E8.0020.0004][.21EB.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FIVE
3256  ; [.21E8.0020.0006][.21EC.0020.0006] # CIRCLED NUMBER TWENTY SIX
33F9  ; [.21E8.0020.0004][.21EC.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SIX
3257  ; [.21E8.0020.0006][.21ED.0020.0006] # CIRCLED NUMBER TWENTY SEVEN
33FA  ; [.21E8.0020.0004][.21ED.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SEVEN
3258  ; [.21E8.0020.0006][.21EE.0020.0006] # CIRCLED NUMBER TWENTY EIGHT
33FB  ; [.21E8.0020.0004][.21EE.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-EIGHT
3259  ; [.21E8.0020.0006][.21EF.0020.0006] # CIRCLED NUMBER TWENTY NINE
33FC  ; [.21E8.0020.0004][.21EF.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-NINE
1F19D ; [.21E8.0020.001C][.2514.0020.001D] # SQUARED TWO K
1F19C ; [.21E8.0020.001C][.2571.0020.001C][.2436.0020.001C][*0209.0020.001C][.2632.0020.001D][.2420.0020.001C][.25F0.0020.001C] # SQUARED SECOND SCREEN
33E1  ; [.21E8.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWO
32C1  ; [.21E8.0020.0004][.FB40.0020.0004][.E708.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY
335A  ; [.21E8.0020.0004][.FB40.0020.0004][.F0B9.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWO
0033  ; [.21E9.0020.0002] # DIGIT THREE
0663  ; [.21E9.0020.0002] # ARABIC-INDIC DIGIT THREE
06F3  ; [.21E9.0020.0002] # EXTENDED ARABIC-INDIC DIGIT THREE
07C3  ; [.21E9.0020.0002] # NKO DIGIT THREE
0969  ; [.21E9.0020.0002] # DEVANAGARI DIGIT THREE
09E9  ; [.21E9.0020.0002] # BENGALI DIGIT THREE
0A69  ; [.21E9.0020.0002] # GURMUKHI DIGIT THREE
0AE9  ; [.21E9.0020.0002] # GUJARATI DIGIT THREE
0B69  ; [.21E9.0020.0002] # ORIYA DIGIT THREE
0BE9  ; [.21E9.0020.0002] # TAMIL DIGIT THREE
0C69  ; [.21E9.0020.0002] # TELUGU DIGIT THREE
0C7B  ; [.21E9.0020.0002] # TELUGU FRACTION DIGIT THREE FOR ODD POWERS OF FOUR
0C7E  ; [.21E9.0020.0002] # TELUGU FRACTION DIGIT THREE FOR EVEN POWERS OF FOUR
0CE9  ; [.21E9.0020.0002] # KANNADA DIGIT THREE
0D69  ; [.21E9.0020.0002] # MALAYALAM DIGIT THREE
0DE9  ; [.21E9.0020.0002] # SINHALA LITH DIGIT THREE
0E53  ; [.21E9.0020.0002] # THAI DIGIT THREE
0ED3  ; [.21E9.0020.0002] # LAO DIGIT THREE
0F23  ; [.21E9.0020.0002] # TIBETAN DIGIT THREE
1043  ; [.21E9.0020.0002] # MYANMAR DIGIT THREE
1093  ; [.21E9.0020.0002] # MYANMAR SHAN DIGIT THREE
136B  ; [.21E9.0020.0002] # ETHIOPIC DIGIT THREE
17E3  ; [.21E9.0020.0002] # KHMER DIGIT THREE
17F3  ; [.21E9.0020.0002] # KHMER SYMBOL LEK ATTAK BEI
1813  ; [.21E9.0020.0002] # MONGOLIAN DIGIT THREE
1949  ; [.21E9.0020.0002] # LIMBU DIGIT THREE
19D3  ; [.21E9.0020.0002] # NEW TAI LUE DIGIT THREE
1A83  ; [.21E9.0020.0002] # TAI THAM HORA DIGIT THREE
1A93  ; [.21E9.0020.0002] # TAI THAM THAM DIGIT THREE
1B53  ; [.21E9.0020.0002] # BALINESE DIGIT THREE
1BB3  ; [.21E9.0020.0002] # SUNDANESE DIGIT THREE
1C43  ; [.21E9.0020.0002] # LEPCHA DIGIT THREE
1C53  ; [.21E9.0020.0002] # OL CHIKI DIGIT THREE
3023  ; [.21E9.0020.0002] # HANGZHOU NUMERAL THREE
A623  ; [.21E9.0020.0002] # VAI DIGIT THREE
A8D3  ; [.21E9.0020.0002] # SAURASHTRA DIGIT THREE
A903  ; [.21E9.0020.0002] # KAYAH LI DIGIT THREE
A9D3  ; [.21E9.0020.0002] # JAVANESE DIGIT THREE
A9F3  ; [.21E9.0020.0002] # MYANMAR TAI LAING DIGIT THREE
AA53  ; [.21E9.0020.0002] # CHAM DIGIT THREE
ABF3  ; [.21E9.0020.0002] # MEETEI MAYEK DIGIT THREE
10109 ; [.21E9.0020.0002] # AEGEAN NUMBER THREE
102E3 ; [.21E9.0020.0002] # COPTIC EPACT DIGIT THREE
104A3 ; [.21E9.0020.0002] # OSMANYA DIGIT THREE
1085A ; [.21E9.0020.0002] # IMPERIAL ARAMAIC NUMBER THREE
1087B ; [.21E9.0020.0002] # PALMYRENE NUMBER THREE
108A9 ; [.21E9.0020.0002] # NABATAEAN NUMBER THREE
1091B ; [.21E9.0020.0002] # PHOENICIAN NUMBER THREE
109C2 ; [.21E9.0020.0002] # MEROITIC CURSIVE NUMBER THREE
10A42 ; [.21E9.0020.0002] # KHAROSHTHI DIGIT THREE
10B5A ; [.21E9.0020.0002] # INSCRIPTIONAL PARTHIAN NUMBER THREE
10B7A ; [.21E9.0020.0002] # INSCRIPTIONAL PAHLAVI NUMBER THREE
10BAB ; [.21E9.0020.0002] # PSALTER PAHLAVI NUMBER THREE
10D33 ; [.21E9.0020.0002] # HANIFI ROHINGYA DIGIT THREE
10D43 ; [.21E9.0020.0002] # GARAY DIGIT THREE
10E62 ; [.21E9.0020.0002] # RUMI DIGIT THREE
10F1F ; [.21E9.0020.0002] # OLD SOGDIAN NUMBER THREE
10FC7 ; [.21E9.0020.0002] # CHORASMIAN NUMBER THREE
11054 ; [.21E9.0020.0002] # BRAHMI NUMBER THREE
11069 ; [.21E9.0020.0002] # BRAHMI DIGIT THREE
110F3 ; [.21E9.0020.0002] # SORA SOMPENG DIGIT THREE
11139 ; [.21E9.0020.0002] # CHAKMA DIGIT THREE
111D3 ; [.21E9.0020.0002] # SHARADA DIGIT THREE
111E3 ; [.21E9.0020.0002] # SINHALA ARCHAIC DIGIT THREE
112F3 ; [.21E9.0020.0002] # KHUDAWADI DIGIT THREE
11453 ; [.21E9.0020.0002] # NEWA DIGIT THREE
114D3 ; [.21E9.0020.0002] # TIRHUTA DIGIT THREE
11653 ; [.21E9.0020.0002] # MODI DIGIT THREE
116C3 ; [.21E9.0020.0002] # TAKRI DIGIT THREE
116D3 ; [.21E9.0020.0002] # MYANMAR PAO DIGIT THREE
116DD ; [.21E9.0020.0002] # MYANMAR EASTERN PWO KAREN DIGIT THREE
11733 ; [.21E9.0020.0002] # AHOM DIGIT THREE
118E3 ; [.21E9.0020.0002] # WARANG CITI DIGIT THREE
11953 ; [.21E9.0020.0002] # DIVES AKURU DIGIT THREE
11BF3 ; [.21E9.0020.0002] # SUNUWAR DIGIT THREE
11C53 ; [.21E9.0020.0002] # BHAIKSUKI DIGIT THREE
11C5C ; [.21E9.0020.0002] # BHAIKSUKI NUMBER THREE
11D53 ; [.21E9.0020.0002] # MASARAM GONDI DIGIT THREE
11DA3 ; [.21E9.0020.0002] # GUNJALA GONDI DIGIT THREE
11DE3 ; [.21E9.0020.0002] # TOLONG SIKI DIGIT THREE
11F53 ; [.21E9.0020.0002] # KAWI DIGIT THREE
12401 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE ASH
12408 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE DISH
12417 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE GESH2
12420 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE GESHU
12424 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE SHAR2
12425 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE SHAR2 VARIANT FORM
1242E ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE SHARU
1242F ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE SHARU VARIANT FORM
12436 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE BURU
12437 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE BURU VARIANT FORM
1243A ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH16
1243B ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH21
1244B ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE ASH TENU
12451 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN THREE BAN2
12457 ; [.21E9.0020.0002] # CUNEIFORM NUMERIC SIGN NIGIDAESH
16133 ; [.21E9.0020.0002] # GURUNG KHEMA DIGIT THREE
16A63 ; [.21E9.0020.0002] # MRO DIGIT THREE
16AC3 ; [.21E9.0020.0002] # TANGSA DIGIT THREE
16B53 ; [.21E9.0020.0002] # PAHAWH HMONG DIGIT THREE
16D73 ; [.21E9.0020.0002] # KIRAT RAI DIGIT THREE
16E83 ; [.21E9.0020.0002] # MEDEFAIDRIN DIGIT THREE
1D2C3 ; [.21E9.0020.0002] # KAKTOVIK NUMERAL THREE
1D2E3 ; [.21E9.0020.0002] # MAYAN NUMERAL THREE
1D362 ; [.21E9.0020.0002] # COUNTING ROD UNIT DIGIT THREE
1D374 ; [.21E9.0020.0002] # IDEOGRAPHIC TALLY MARK THREE
1E143 ; [.21E9.0020.0002] # NYIAKENG PUACHUE HMONG DIGIT THREE
1E2F3 ; [.21E9.0020.0002] # WANCHO DIGIT THREE
1E4F3 ; [.21E9.0020.0002] # NAG MUNDARI DIGIT THREE
1E5F4 ; [.21E9.0020.0002] # OL ONAL DIGIT THREE
1E8C9 ; [.21E9.0020.0002] # MENDE KIKAKUI DIGIT THREE
1E953 ; [.21E9.0020.0002] # ADLAM DIGIT THREE
1EC73 ; [.21E9.0020.0002] # INDIC SIYAQ NUMBER THREE
1ECA5 ; [.21E9.0020.0002] # INDIC SIYAQ NUMBER PREFIXED THREE
1ED03 ; [.21E9.0020.0002] # OTTOMAN SIYAQ NUMBER THREE
FF13  ; [.21E9.0020.0003] # FULLWIDTH DIGIT THREE
0F2C  ; [.21E9.0020.0004] # TIBETAN DIGIT HALF THREE
2476  ; [*033E.0020.0004][.21E9.0020.0004][*033F.0020.0004] # PARENTHESIZED DIGIT THREE
248A  ; [.21E9.0020.0004][*0282.0020.0004] # DIGIT THREE FULL STOP
1F104 ; [.21E9.0020.0004][*0225.0020.0004] # DIGIT THREE COMMA
1CCF3 ; [.21E9.0020.0005] # OUTLINED DIGIT THREE
1D7D1 ; [.21E9.0020.0005] # MATHEMATICAL BOLD DIGIT THREE
1D7DB ; [.21E9.0020.0005] # MATHEMATICAL DOUBLE-STRUCK DIGIT THREE
1D7E5 ; [.21E9.0020.0005] # MATHEMATICAL SANS-SERIF DIGIT THREE
1D7EF ; [.21E9.0020.0005] # MATHEMATICAL SANS-SERIF BOLD DIGIT THREE
1D7F9 ; [.21E9.0020.0005] # MATHEMATICAL MONOSPACE DIGIT THREE
1FBF3 ; [.21E9.0020.0005] # SEGMENTED DIGIT THREE
2462  ; [.21E9.0020.0006] # CIRCLED DIGIT THREE
24F7  ; [.21E9.0020.0006] # DOUBLE CIRCLED DIGIT THREE
2778  ; [.21E9.0020.0006] # DINGBAT NEGATIVE CIRCLED DIGIT THREE
2782  ; [.21E9.0020.0006] # DINGBAT CIRCLED SANS-SERIF DIGIT THREE
278C  ; [.21E9.0020.0006] # DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
00B3  ; [.21E9.0020.0014] # SUPERSCRIPT THREE
2083  ; [.21E9.0020.0015] # SUBSCRIPT THREE
16E96 ; [.21E9.0020.0002][.0000.011F.0002] # MEDEFAIDRIN DIGIT THREE ALTERNATE FORM
1ED30 ; [.21E9.0020.0004][.0000.011F.0004] # OTTOMAN SIYAQ ALTERNATE NUMBER THREE
324A  ; [.21E9.0020.0006][.21E6.0020.0006] # CIRCLED NUMBER THIRTY ON BLACK SQUARE
325A  ; [.21E9.0020.0006][.21E6.0020.0006] # CIRCLED NUMBER THIRTY
33FD  ; [.21E9.0020.0004][.21E6.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY
325B  ; [.21E9.0020.0006][.21E7.0020.0006] # CIRCLED NUMBER THIRTY ONE
33FE  ; [.21E9.0020.0004][.21E7.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY-ONE
325C  ; [.21E9.0020.0006][.21E8.0020.0006] # CIRCLED NUMBER THIRTY TWO
325D  ; [.21E9.0020.0006][.21E9.0020.0006] # CIRCLED NUMBER THIRTY THREE
325E  ; [.21E9.0020.0006][.21EA.0020.0006] # CIRCLED NUMBER THIRTY FOUR
00BE  ; [.21E9.0020.001E][*06E8.0020.001E][.21EA.0020.001E] # VULGAR FRACTION THREE QUARTERS
325F  ; [.21E9.0020.0006][.21EB.0020.0006] # CIRCLED NUMBER THIRTY FIVE
2157  ; [.21E9.0020.001E][*06E8.0020.001E][.21EB.0020.001E] # VULGAR FRACTION THREE FIFTHS
32B1  ; [.21E9.0020.0006][.21EC.0020.0006] # CIRCLED NUMBER THIRTY SIX
32B2  ; [.21E9.0020.0006][.21ED.0020.0006] # CIRCLED NUMBER THIRTY SEVEN
32B3  ; [.21E9.0020.0006][.21EE.0020.0006] # CIRCLED NUMBER THIRTY EIGHT
215C  ; [.21E9.0020.001E][*06E8.0020.001E][.21EE.0020.001E] # VULGAR FRACTION THREE EIGHTHS
32B4  ; [.21E9.0020.0006][.21EF.0020.0006] # CIRCLED NUMBER THIRTY NINE
1F19B ; [.21E9.0020.001C][.2436.0020.001D] # SQUARED THREE D
33E2  ; [.21E9.0020.0004][.FB40.0020.0004][.E5E5.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THREE
32C2  ; [.21E9.0020.0004][.FB40.0020.0004][.E708.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH
335B  ; [.21E9.0020.0004][.FB40.0020.0004][.F0B9.0000.0000] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THREE
0034  ; [.21EA.0020.0002] # DIGIT FOUR
0664  ; [.21EA.0020.0002] # ARABIC-INDIC DIGIT FOUR
06F4  ; [.21EA.0020.0002] # EXTENDED ARABIC-INDIC DIGIT FOUR
07C4  ; [.21EA.0020.0002] # NKO DIGIT FOUR
096A  ; [.21EA.0020.0002] # DEVANAGARI DIGIT FOUR
09EA  ; [.21EA.0020.0002] # BENGALI DIGIT FOUR
0A6A  ; [.21EA.0020.0002] # GURMUKHI DIGIT FOUR
0AEA  ; [.21EA.0020.0002] # GUJARATI DIGIT FOUR
0B6A  ; [.21EA.0020.0002] # ORIYA DIGIT FOUR
0BEA  ; [.21EA.0020.0002] # TAMIL DIGIT FOUR
0C6A  ; [.21EA.0020.0002] # TELUGU DIGIT FOUR
0CEA  ; [.21EA.0020.0002] # KANNADA DIGIT FOUR
0D6A  ; [.21EA.0020.0002] # MALAYALAM DIGIT FOUR
0DEA  ; [.21EA.0020.0002] # SINHALA LITH DIGIT FOUR
0E54  ; [.21EA.0020.0002] # THAI DIGIT FOUR
0ED4  ; [.21EA.0020.0002] # LAO DIGIT FOUR
0F24  ; [.21EA.0020.0002] # TIBETAN DIGIT FOUR
1044  ; [.21EA.0020.0002] # MYANMAR DIGIT FOUR
1094  ; [.21EA.0020.0002] # MYANMAR SHAN DIGIT FOUR
136C  ; [.21EA.0020.0002] # ETHIOPIC DIGIT FOUR
17E4  ; [.21EA.0020.0002] # KHMER DIGIT FOUR
17F4  ; [.21EA.0020.0002] # KHMER SYMBOL LEK ATTAK BUON
1814  ; [.21EA.0020.0002] # MONGOLIAN DIGIT FOUR
194A  ; [.21EA.0020.0002] # LIMBU DIGIT FOUR
19D4  ; [.21EA.0020.0002] # NEW TAI LUE DIGIT FOUR
1A84  ; [.21EA.0020.0002] # TAI THAM HORA DIGIT FOUR
1A94  ; [.21EA.0020.0002] # TAI THAM THAM DIGIT FOUR
1B54  ; [.21EA.0020.0002] # BALINESE DIGIT FOUR
1BB4  ; [.21EA.0020.0002] # SUNDANESE DIGIT FOUR
1C44  ; [.21EA.0020.0002] # LEPCHA DIGIT FOUR
1C54  ; [.21EA.0020.0002] # OL CHIKI DIGIT FOUR
3024  ; [.21EA.0020.0002] # HANGZHOU NUMERAL FOUR
A624  ; [.21EA.0020.0002] # VAI DIGIT FOUR
A8D4  ; [.21EA.0020.0002] # SAURASHTRA DIGIT FOUR
A904  ; [.21EA.0020.0002] # KAYAH LI DIGIT FOUR
A9D4  ; [.21EA.0020.0002] # JAVANESE DIGIT FOUR
A9F4  ; [.21EA.0020.0002] # MYANMAR TAI LAING DIGIT FOUR
AA54  ; [.21EA.0020.0002] # CHAM DIGIT FOUR
ABF4  ; [.21EA.0020.0002] # MEETEI MAYEK DIGIT FOUR
1010A ; [.21EA.0020.0002] # AEGEAN NUMBER FOUR
102E4 ; [.21EA.0020.0002] # COPTIC EPACT DIGIT FOUR
104A4 ; [.21EA.0020.0002] # OSMANYA DIGIT FOUR
1087C ; [.21EA.0020.0002] # PALMYRENE NUMBER FOUR
108AA ; [.21EA.0020.0002] # NABATAEAN NUMBER FOUR
108AB ; [.21EA.0020.0002] # NABATAEAN CRUCIFORM NUMBER FOUR
109C3 ; [.21EA.0020.0002] # MEROITIC CURSIVE NUMBER FOUR
10A43 ; [.21EA.0020.0002] # KHAROSHTHI DIGIT FOUR
10B5B ; [.21EA.0020.0002] # INSCRIPTIONAL PARTHIAN NUMBER FOUR
10B7B ; [.21EA.0020.0002] # INSCRIPTIONAL PAHLAVI NUMBER FOUR
10BAC ; [.21EA.0020.0002] # PSALTER PAHLAVI NUMBER FOUR
10D34 ; [.21EA.0020.0002] # HANIFI ROHINGYA DIGIT FOUR
10D44 ; [.21EA.0020.0002] # GARAY DIGIT FOUR
10E63 ; [.21EA.0020.0002] # RUMI DIGIT FOUR
10F20 ; [.21EA.0020.0002] # OLD SOGDIAN NUMBER FOUR
10FC8 ; [.21EA.0020.0002] # CHORASMIAN NUMBER FOUR
11055 ; [.21EA.0020.0002] # BRAHMI NUMBER FOUR
1106A ; [.21EA.0020.0002] # BRAHMI DIGIT FOUR
110F4 ; [.21EA.0020.0002] # SORA SOMPENG DIGIT FOUR
1113A ; [.21EA.0020.0002] # CHAKMA DIGIT FOUR
111D4 ; [.21EA.0020.0002] # SHARADA DIGIT FOUR
111E4 ; [.21EA.0020.0002] # SINHALA ARCHAIC DIGIT FOUR
112F4 ; [.21EA.0020.0002] # KHUDAWADI DIGIT FOUR
11454 ; [.21EA.0020.0002] # NEWA DIGIT FOUR
114D4 ; [.21EA.0020.0002] # TIRHUTA DIGIT FOUR
11654 ; [.21EA.0020.0002] # MODI DIGIT FOUR
116C4 ; [.21EA.0020.0002] # TAKRI DIGIT FOUR
116D4 ; [.21EA.0020.0002] # MYANMAR PAO DIGIT FOUR
116DE ; [.21EA.0020.0002] # MYANMAR EASTERN PWO KAREN DIGIT FOUR
11734 ; [.21EA.0020.0002] # AHOM DIGIT FOUR
118E4 ; [.21EA.0020.0002] # WARANG CITI DIGIT FOUR
11954 ; [.21EA.0020.0002] # DIVES AKURU DIGIT FOUR
11BF4 ; [.21EA.0020.0002] # SUNUWAR DIGIT FOUR
11C54 ; [.21EA.0020.0002] # BHAIKSUKI DIGIT FOUR
11C5D ; [.21EA.0020.0002] # BHAIKSUKI NUMBER FOUR
11D54 ; [.21EA.0020.0002] # MASARAM GONDI DIGIT FOUR
11DA4 ; [.21EA.0020.0002] # GUNJALA GONDI DIGIT FOUR
11DE4 ; [.21EA.0020.0002] # TOLONG SIKI DIGIT FOUR
11F54 ; [.21EA.0020.0002] # KAWI DIGIT FOUR
12402 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR ASH
12409 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR DISH
1240F ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR U
12418 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR GESH2
12421 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR GESHU
12426 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR SHAR2
12430 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR SHARU
12438 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR BURU
1243C ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU
1243D ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU4
1243E ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU A
1243F ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU B
1244C ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR ASH TENU
12452 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR BAN2
12453 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR BAN2 VARIANT FORM
12469 ; [.21EA.0020.0002] # CUNEIFORM NUMERIC SIGN FOUR U VARIANT FORM
16134 ; [.21EA.0020.0002] # GURUNG KHEMA DIGIT FOUR
16A64 ; [.21EA.0020.0002] # MRO DIGIT FOUR
16AC4 ; [.21EA.0020.0002] # TANGSA DIGIT FOUR
16B54 ; [.21EA.0020.0002] # PAHAWH HMONG DIGIT FOUR
16D74 ; [.21EA.0020.0002] # KIRAT RAI DIGIT FOUR
16E84 ; [.21EA.0020.0002] # MEDEFAIDRIN DIGIT FOUR
1D2C4 ; [.21EA.0020.0002] # KAKTOVIK NUMERAL FOUR
1D2E4 ; [.21EA.0020.0002] # MAYAN NUMERAL FOUR
1D363 ; [.21EA.0020.0002] # COUNTING ROD UNIT DIGIT FOUR
1D375 ; [.21EA.0020.0002] # IDEOGRAPHIC TALLY MARK FOUR
1E144 ; [.21EA.0020.0002] # NYIAKENG PUACHUE HMONG DIGIT FOUR
1E2F4 ; [.21EA.0020.0002] # WANCHO DIGIT FOUR
1E4F4 ; [.21EA.0020.0002] # NAG MUNDARI DIGIT FOUR
1E5F5 ; [.21EA.0020.0002] # OL ONAL DIGIT FOUR
1E8CA ; [.21EA.0020.0002] # MENDE KIKAKUI DIGIT FOUR
1E954 ; [.21EA.0020.0002] # ADLAM DIGIT FOUR
1EC74 ; [.21EA.0020.0002] # INDIC SIYAQ NUMBER FOUR
1ECA6 ; [.21EA.0020.0002] # INDIC SIYAQ NUMBER PREFIXED FOUR
1ED04 ; [.21EA.0020.0002] # OTTOMAN SIYAQ NUMBER FOUR
FF14  ; [.21EA.0020.0003] # FULLWIDTH DIGIT FOUR
0F2D  ; [.21EA.0020.0004] # TIBETAN DIGIT HALF FOUR
2477  ; [*033E.0020.0004][.21EA.0020.0004][*033F.0020.0004] # PARENTHESIZED DIGIT FOUR
248B  ; [.21EA.0020.0004][*0282.0020.0004] # DIGIT FOUR FULL STOP
1F105 ; [.21EA.0020.0004][*0225.0020.0004] # DIGIT FOUR COMMA
1CCF4 ; [.21EA.0020.0005] # OUTLINED DIGIT FOUR
1D7D2 ; [.21EA.0020.0005] # MATHEMATICAL BOLD DIGIT FOUR
1D7DC ; [.21EA.0020.0005] # MATHEMATICAL DOUBLE-STRUCK DIGIT FOUR
